timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/28 23:06:25.727, NVIDIA L4, 23034 MiB, 14180 MiB, 8384 MiB, 0 %, 0 %
2026/04/28 23:06:26.736, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 96 %, 100 %
2026/04/28 23:06:27.737, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 98 %, 100 %
2026/04/28 23:06:28.738, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 97 %, 100 %
2026/04/28 23:06:29.740, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 97 %, 100 %
2026/04/28 23:06:30.741, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 93 %, 100 %
2026/04/28 23:06:31.741, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 95 %, 100 %
2026/04/28 23:06:32.743, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 98 %, 100 %
2026/04/28 23:06:33.743, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 99 %, 100 %
2026/04/28 23:06:34.744, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 99 %, 100 %
2026/04/28 23:06:35.745, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 96 %, 100 %
2026/04/28 23:06:36.745, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 96 %, 100 %
2026/04/28 23:06:37.746, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 97 %, 100 %
2026/04/28 23:06:38.748, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 97 %, 100 %
2026/04/28 23:06:39.748, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 97 %, 100 %
2026/04/28 23:06:40.748, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 98 %, 100 %
2026/04/28 23:06:41.749, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 95 %, 100 %
2026/04/28 23:06:42.749, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 99 %, 100 %
2026/04/28 23:06:43.750, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 98 %, 100 %
2026/04/28 23:06:44.751, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 100 %, 100 %
2026/04/28 23:06:45.751, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 99 %, 100 %
2026/04/28 23:06:46.751, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 93 %, 100 %
2026/04/28 23:06:47.752, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 93 %, 100 %
2026/04/28 23:06:48.752, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 100 %, 100 %
2026/04/28 23:06:49.753, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 98 %, 100 %
2026/04/28 23:06:50.754, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 98 %, 100 %
2026/04/28 23:06:51.755, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 99 %, 100 %
2026/04/28 23:06:52.755, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 99 %, 100 %
2026/04/28 23:06:53.756, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 92 %, 100 %
2026/04/28 23:06:54.756, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 97 %, 100 %
2026/04/28 23:06:55.757, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 86 %, 95 %
2026/04/28 23:06:56.759, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 97 %, 100 %
2026/04/28 23:06:57.759, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 99 %, 100 %
2026/04/28 23:06:58.760, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 98 %, 100 %
2026/04/28 23:06:59.761, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 95 %, 100 %
2026/04/28 23:07:00.761, NVIDIA L4, 23034 MiB, 14182 MiB, 8382 MiB, 96 %, 100 %
2026/04/28 23:07:01.761, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 91 %, 100 %
2026/04/28 23:07:02.762, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 98 %, 100 %
2026/04/28 23:07:03.762, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 98 %, 100 %
2026/04/28 23:07:04.762, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 95 %, 100 %
2026/04/28 23:07:05.763, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 97 %, 100 %
2026/04/28 23:07:06.764, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 93 %, 100 %
2026/04/28 23:07:07.764, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 100 %, 100 %
2026/04/28 23:07:08.764, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 97 %, 100 %
2026/04/28 23:07:09.765, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 93 %, 100 %
2026/04/28 23:07:10.765, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 97 %, 100 %
2026/04/28 23:07:11.766, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 97 %, 100 %
2026/04/28 23:07:12.767, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 98 %, 100 %
2026/04/28 23:07:13.767, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 97 %, 100 %
2026/04/28 23:07:14.767, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 96 %, 100 %
2026/04/28 23:07:15.769, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 93 %, 100 %
2026/04/28 23:07:16.769, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 98 %, 100 %
2026/04/28 23:07:17.769, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 96 %, 100 %
2026/04/28 23:07:18.771, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 93 %, 100 %
2026/04/28 23:07:19.771, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 98 %, 100 %
2026/04/28 23:07:20.771, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 97 %, 100 %
2026/04/28 23:07:21.772, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 100 %, 100 %
2026/04/28 23:07:22.773, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 97 %, 100 %
2026/04/28 23:07:23.773, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 100 %, 100 %
2026/04/28 23:07:24.775, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 93 %, 99 %
2026/04/28 23:07:25.776, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 92 %, 100 %
2026/04/28 23:07:26.777, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 96 %, 100 %
2026/04/28 23:07:27.778, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 94 %, 100 %
2026/04/28 23:07:28.778, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 95 %, 100 %
2026/04/28 23:07:29.779, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 96 %, 100 %
2026/04/28 23:07:30.781, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 97 %, 100 %
2026/04/28 23:07:31.782, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 94 %, 100 %
2026/04/28 23:07:32.783, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 97 %, 100 %
2026/04/28 23:07:33.785, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 100 %, 100 %
2026/04/28 23:07:34.785, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 94 %, 100 %
2026/04/28 23:07:35.786, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 98 %, 100 %
2026/04/28 23:07:36.787, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 91 %, 100 %
2026/04/28 23:07:37.789, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 99 %, 100 %
2026/04/28 23:07:38.789, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 94 %, 100 %
2026/04/28 23:07:39.789, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 95 %, 100 %
2026/04/28 23:07:40.790, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 94 %, 100 %
2026/04/28 23:07:41.790, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 97 %, 100 %
2026/04/28 23:07:42.790, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 93 %, 100 %
2026/04/28 23:07:43.792, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 99 %, 100 %
2026/04/28 23:07:44.792, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 97 %, 100 %
2026/04/28 23:07:45.792, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 95 %, 100 %
2026/04/28 23:07:46.794, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 96 %, 100 %
2026/04/28 23:07:47.794, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 95 %, 100 %
2026/04/28 23:07:48.794, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 93 %, 100 %
2026/04/28 23:07:49.794, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 96 %, 100 %
2026/04/28 23:07:50.796, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 89 %, 97 %
2026/04/28 23:07:51.796, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 100 %, 100 %
2026/04/28 23:07:52.798, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 100 %, 100 %
2026/04/28 23:07:53.798, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 99 %, 100 %
2026/04/28 23:07:54.798, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 100 %, 100 %
2026/04/28 23:07:55.799, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 100 %, 100 %
2026/04/28 23:07:56.799, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 95 %, 100 %
2026/04/28 23:07:57.799, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 98 %, 100 %
2026/04/28 23:07:58.799, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 99 %, 100 %
2026/04/28 23:07:59.801, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 94 %, 100 %
2026/04/28 23:08:00.801, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 96 %, 100 %
2026/04/28 23:08:01.802, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 96 %, 100 %
2026/04/28 23:08:02.804, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 100 %, 100 %
2026/04/28 23:08:03.804, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 94 %, 100 %
2026/04/28 23:08:04.805, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 100 %, 100 %
2026/04/28 23:08:05.806, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 92 %, 100 %
2026/04/28 23:08:06.806, NVIDIA L4, 23034 MiB, 14184 MiB, 8380 MiB, 94 %, 100 %
2026/04/28 23:08:07.806, NVIDIA L4, 23034 MiB, 14188 MiB, 8376 MiB, 100 %, 100 %
