timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/28 19:26:16.533, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 0 %, 0 %
2026/04/28 19:26:17.538, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 95 %
2026/04/28 19:26:18.540, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 96 %
2026/04/28 19:26:19.542, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 97 %
2026/04/28 19:26:20.544, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 90 %
2026/04/28 19:26:21.548, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 90 %
2026/04/28 19:26:22.549, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 96 %
2026/04/28 19:26:23.550, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 95 %
2026/04/28 19:26:24.551, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 96 %
2026/04/28 19:26:25.553, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 90 %
